est_year,season,survey_area,xmin_fit,xmax_fit,xmin_actual,xmax_actual,n,b,confMin,confMax,spectra_type,stdErr,C,area_titles,bot_temp,region,total_weight_lb
1970,Fall,GB,1,13287.759804325087,0.1548757726287886,13287.759804325087,7765,-0.8964241802883273,-0.904424180288327,-0.888424180288327,bodymass,0.00408163265306122,0.06188952542758488,Georges Bank,8.887111014685049,NA,69864352
1970,Fall,GoM,1,25150.7118171556,0.1548757726287886,25150.7118171556,10047,-0.9043504532658831,-0.910350453265883,-0.8983504532658828,bodymass,0.00306122448979597,0.05847303487571223,Gulf of Maine,6.415407591148958,NA,169455791
1970,Fall,MAB,1,132944.8843388418,0.04477530764288502,132944.8843388418,18498,-1.1808890124533054,-1.1848890124533056,-1.1768890124533056,bodymass,0.00204081632653061,0.20517200465672553,Mid-Atlantic Bight,9.175259988497844,NA,8000
1970,Fall,SNE,1,18020.858911787207,0.04477530764288502,18020.858911787207,26473,-1.0928897326106926,-1.0968897326106926,-1.0888897326106926,bodymass,0.00204081632653061,0.1554438009434639,Southern New England,11.19279240890288,NA,121973790
1970,Spring,GB,1,24779.792233673736,0.5006714932400886,24779.792233673736,13273,-0.9444148792976294,-0.9494148792976294,-0.9394148792976296,bodymass,0.00255102040816321,0.07363476443828246,Georges Bank,8.887111014685049,NA,69864352
1970,Spring,GoM,1,17230.573983544396,1.0317521988158551,17230.573983544396,8908,-0.878162462712912,-0.885162462712912,-0.871162462712912,bodymass,0.00357142857142857,0.05339037275867188,Gulf of Maine,6.415407591148958,NA,169455791
1970,Spring,MAB,1,14412.151515804988,0.5981079808461115,14412.151515804988,26802,-1.1326101347415405,-1.1366101347415405,-1.1286101347415405,bodymass,0.00204081632653061,0.18440440226359364,Mid-Atlantic Bight,9.175259988497844,NA,8000
1970,Spring,SNE,1,19683.634697956528,0.5981079808461115,19683.634697956528,24174,-1.011058256483138,-1.015058256483138,-1.007058256483138,bodymass,0.00204081632653061,0.106767228397513,Southern New England,11.19279240890288,NA,121973790
1971,Fall,GB,1,14294.970710969646,0.00536668585061283,14294.970710969646,8660,-1.0240415011888735,-1.0310415011888734,-1.0170415011888734,bodymass,0.00357142857142857,0.11699991307508564,Georges Bank,7.901349592133294,NA,74865651
1971,Fall,GoM,1,25760.488686139448,0.1548757726287886,25760.488686139448,9637,-0.9409929449700716,-0.9469929449700716,-0.9349929449700712,bodymass,0.00306122448979597,0.07188411808310614,Gulf of Maine,6.814628114134578,NA,170155599
1971,Fall,MAB,1,14690.466445421029,0.02414338810073994,14690.466445421029,26151,-1.1614298667899678,-1.1654298667899678,-1.1574298667899678,bodymass,0.00204081632653061,0.20498483908699355,Mid-Atlantic Bight,9.709804525628554,NA,22240
1971,Fall,SNE,1,15173.595604214624,0,15173.595604214624,40604,-1.172173541580355,-1.1751735415803546,-1.1691735415803546,bodymass,0.00153061224489796,0.21271799098041216,Southern New England,10.413958492718647,NA,95497864
1971,Spring,GB,1,21538.107880788662,0.5006714932400886,21538.107880788662,6415,-0.932742436034224,-0.940742436034224,-0.924742436034224,bodymass,0.00408163265306122,0.07032919835908369,Georges Bank,7.901349592133294,NA,74865651
1971,Spring,GoM,1,17899.302803032242,0.5378131793918438,17899.302803032242,11696,-0.857097464206011,-0.863097464206011,-0.8510974642060107,bodymass,0.00306122448979597,0.04681233570662788,Gulf of Maine,6.814628114134578,NA,170155599
1971,Spring,MAB,1,16065.175637711602,0.10259749676006846,16065.175637711602,30453,-1.102204210880566,-1.106204210880566,-1.098204210880566,bodymass,0.00204081632653061,0.16265638169432936,Mid-Atlantic Bight,9.709804525628554,NA,22240
1971,Spring,SNE,1,23621.79913803243,0.12705264994290433,23621.79913803243,20466,-0.9592616845734232,-0.9632616845734234,-0.9552616845734234,bodymass,0.00204081632653061,0.0803252339990281,Southern New England,10.413958492718647,NA,95497864
1972,Fall,GB,1,16457.788619329473,0.12114625991347348,16457.788619329473,10022,-0.9934156351652516,-0.9994156351652516,-0.9874156351652514,bodymass,0.00306122448979597,0.09974483988448514,Georges Bank,8.552153128640587,NA,70431928
